advisor_id,name,title,photo_URL,biography,email,phone,department,annual_quota,assigned_quota,is_eligible
L001,张林森,学硕导师,http://example.com/zls.jpg,张林森教授，林学院资深教授，专注于森林生态学。,zhanglinsen@bjfu.edu.cn,12345678901,林学院,,,
L002,李梅,学硕导师,http://example.com/lm.jpg,李梅教授，林学院副教授，专攻林木遗传育种。,limmei@bjfu.edu.cn,12345678902,林学院,,,
L003,王森林,学硕导师,http://example.com/wsl.jpg,王森林教授，林学院副教授，研究森林保护。,wangsenlin@bjfu.edu.cn,12345678903,林学院,,,
L004,赵树人,学硕导师,http://example.com/zsr.jpg,赵树人教授，林学院讲师，专注于城市林业。,zhaoshuren@bjfu.edu.cn,12345678904,林学院,,,
L005,钱松涛,学硕导师,http://example.com/qst.jpg,钱松涛教授，林学院讲师，研究林业经济。,qiansongtao@bjfu.edu.cn,12345678905,林学院,,,
L006,孙柏,学硕导师,http://example.com/sb.jpg,孙柏教授，林学院副教授，专攻森林病理学。,sunbai@bjfu.edu.cn,12345678906,林学院,,,
L007,周柳,学硕导师,http://example.com/zl.jpg,周柳教授，林学院讲师，研究森林生态旅游。,zhouliu@bjfu.edu.cn,12345678907,林学院,,,
L008,吴桦,学硕导师,http://example.com/wh.jpg,吴桦教授，林学院副教授，专注于森林资源管理。,wuhua@bjfu.edu.cn,12345678908,林学院,,,
L009,郑枫,学硕导师,http://example.com/zf.jpg,郑枫教授，林学院教授，研究森林气候学。,zhengfeng@bjfu.edu.cn,12345678909,林学院,,,
L010,冯竹,学硕导师,http://example.com/fz.jpg,冯竹教授，林学院讲师，专注于竹林生态学。,fengzhu@bjfu.edu.cn,12345678910,林学院,,,
L011,陈叶,学硕导师,http://example.com/cy.jpg,陈叶教授，林学院副教授，研究植物生理学。,chenye@bjfu.edu.cn,12345678911,林学院,,,
L012,林果,学硕导师,http://example.com/lg.jpg,林果教授，林学院讲师，专注于果树栽培学。,linguo@bjfu.edu.cn,12345678912,林学院,,,
L013,韩林,学硕导师,http://example.com/hl.jpg,韩林教授，林学院副教授，研究森林土壤学。,hanlin@bjfu.edu.cn,12345678913,林学院,,,
L014,杨树,学硕导师,http://example.com/ys.jpg,杨树教授，林学院讲师，专注于树木生理学。,yangshu@bjfu.edu.cn,12345678914,林学院,,,
L015,朱森林,专硕导师,http://example.com/zsl.jpg,朱森林教授，林学院教授，研究森林生态学。,zhuselin@bjfu.edu.cn,12345678915,林学院,,,
L016,秦松,专硕导师,http://example.com/qs.jpg,秦松教授，林学院副教授，研究森林保护。,qinsong@bjfu.edu.cn,12345678916,林学院,,,
L017,徐林,专硕导师,http://example.com/xl.jpg,徐林教授，林学院讲师，专注于森林资源管理。,xulin@bjfu.edu.cn,12345678917,林学院,,,
L018,高山,专硕导师,http://example.com/gs.jpg,高山教授，林学院副教授，研究高山生态学。,gaoshan@bjfu.edu.cn,12345678918,林学院,,,
L019,黄森林,专硕导师,http://example.com/hsl.jpg,黄森林教授，林学院教授，研究森林土壤学。,huangselin@bjfu.edu.cn,12345678919,林学院,,,
L020,何树,学硕导师,http://example.com/hs.jpg,何树教授，林学院讲师，专注于城市林业。,heshu@bjfu.edu.cn,12345678920,林学院,,,
S001,赵生物,学硕导师,http://example.com/zsw.jpg,赵生物教授，生物技术与科学学院资深教授，专注于生物信息学。,zhaoshengwu@bjfu.edu.cn,12345678921,生物技术与科学学院,,,
S002,钱科学,学硕导师,http://example.com/kx.jpg,钱科学教授，生物技术与科学学院副教授，专攻基因工程。,qiankeji@bjfu.edu.cn,12345678922,生物技术与科学学院,,,
S003,孙基因,学硕导师,http://example.com/sj.jpg,孙基因教授，生物技术与科学学院讲师，研究遗传学。,sunjiyin@bjfu.edu.cn,12345678923,生物技术与科学学院,,,
S004,周细胞,学硕导师,http://example.com/zx.jpg,周细胞教授，生物技术与科学学院讲师，专注于细胞生物学。,zhouxibao@bjfu.edu.cn,12345678924,生物技术与科学学院,,,
S005,吴蛋白,学硕导师,http://example.com/wd.jpg,吴蛋白教授，生物技术与科学学院教授，研究蛋白质工程。,wudanbai@bjfu.edu.cn,12345678925,生物技术与科学学院,,,
S006,郑酶,学硕导师,http://example.com/zm.jpg,郑酶教授，生物技术与科学学院副教授，专攻酶工程。,zhengmei@bjfu.edu.cn,12345678926,生物技术与科学学院,,,
S007,冯病毒,学硕导师,http://example.com/fv.jpg,冯病毒教授，生物技术与科学学院讲师，研究病毒学。,fengbingdu@bjfu.edu.cn,12345678927,生物技术与科学学院,,,
S008,陈免疫,学硕导师,http://example.com/cy.jpg,陈免疫教授，生物技术与科学学院副教授，专注于免疫学。,chenmianyi@bjfu.edu.cn,12345678928,生物技术与科学学院,,,
S009,林遗传,学硕导师,http://example.com/lh.jpg,林遗传教授，生物技术与科学学院教授，研究遗传学。,linyicheng@bjfu.edu.cn,12345678929,生物技术与科学学院,,,
S010,韩进化,学硕导师,http://example.com/he.jpg,韩进化教授，生物技术与科学学院讲师，专注于进化生物学。,hanjinhua@bjfu.edu.cn,12345678930,生物技术与科学学院,,,
S011,杨基因,学硕导师,http://example.com/yj.jpg,杨基因教授，生物技术与科学学院副教授，研究基因组学。,yangjiyin@bjfu.edu.cn,12345678931,生物技术与科学学院,,,
S012,朱细胞,学硕导师,http://example.com/zxb.jpg,朱细胞教授，生物技术与科学学院讲师，专注于细胞工程。,zhuxibao@bjfu.edu.cn,12345678932,生物技术与科学学院,,,
S013,秦蛋白,学硕导师,http://example.com/kdb.jpg,秦蛋白教授，生物技术与科学学院副教授，研究蛋白质组学。,qindanbai@bjfu.edu.cn,12345678933,生物技术与科学学院,,,
S014,徐酶,学硕导师,http://example.com/xm.jpg,徐酶教授，生物技术与科学学院讲师，专注于酶工程。,xumei@bjfu.edu.cn,12345678934,生物技术与科学学院,,,
S015,高病毒,专硕导师,http://example.com/gvd.jpg,高病毒教授，生物技术与科学学院教授，研究病毒学。,gaobingdu@bjfu.edu.cn,12345678935,生物技术与科学学院,,,
S016,黄免疫,专硕导师,http://example.com/hy.jpg,黄免疫教授，生物技术与科学学院副教授，专注于免疫学。,huangmianyi@bjfu.edu.cn,12345678936,生物技术与科学学院,,,
S017,何遗传,专硕导师,http://example.com/hy.jpg,何遗传教授，生物技术与科学学院讲师，研究遗传学。,heyicheng@bjfu.edu.cn,12345678937,生物技术与科学学院,,,
S018,孙进化,专硕导师,http://example.com/sj.jpg,孙进化教授，生物技术与科学学院副教授，专注于进化生物学。,sunjinhua@bjfu.edu.cn,12345678938,生物技术与科学学院,,,
S019,周基因,专硕导师,http://example.com/zj.jpg,周基因教授，生物技术与科学学院教授，研究基因组学。,zhoujiyin@bjfu.edu.cn,12345678939,生物技术与科学学院,,,
S020,吴遗传,专硕导师,http://example.com/wy.jpg,吴遗传教授，生物技术与科学学院讲师，专注于遗传学。,wuyicheng@bjfu.edu.cn,12345678940,生物技术与科学学院,,,
X001,孙信息,学硕导师,http://example.com/sxx.jpg,孙信息教授，信息学院资深教授，专注于人工智能。,sunxinx@bjfu.edu.cn,12345678941,信息学院,,,
X002,周技术,学硕导师,http://example.com/zj.jpg,周技术教授，信息学院副教授，专攻数据科学。,zhoujishu@bjfu.edu.cn,12345678942,信息学院,,,
X003,吴软件,学硕导师,http://example.com/srj.jpg,吴软件教授，信息学院副教授，研究软件工程。,wuruanjian@bjfu.edu.cn,12345678943,信息学院,,,
X004,郑硬件,学硕导师,http://example.com/zyj.jpg,郑硬件教授，信息学院讲师，专注于硬件设计。,zhengyingjian@bjfu.edu.cn,12345678944,信息学院,,,
X005,王数据,学硕导师,http://example.com/sj.jpg,王数据教授，信息学院副教授，研究大数据分析。,wangshuju@bjfu.edu.cn,12345678945,信息学院,,,
X006,陈数库,学硕导师,http://example.com/sj.jpg,陈数据库教授，信息学院副教授，专攻数据库系统。,chenshujuku@bjfu.edu.cn,12345678946,信息学院,,,
X007,林系统,学硕导师,http://example.com/lx.jpg,林系统教授，信息学院讲师，研究操作系统。,linxitong@bjfu.edu.cn,12345678947,信息学院,,,
X008,韩算法,学硕导师,http://example.com/hj.jpg,韩算法教授，信息学院副教授，专注于算法设计。,hansuanzi@bjfu.edu.cn,12345678948,信息学院,,,
X009,杨网络,学硕导师,http://example.com/ywl.jpg,杨网络教授，信息学院教授，研究计算机网络。,yangwangluo@bjfu.edu.cn,12345678949,信息学院,,,
X010,朱信息,学硕导师,http://example.com/zx.jpg,朱信息教授，信息学院副教授，专注于信息安全。,zhuxinx@bjfu.edu.cn,12345678950,信息学院,,,
X011,秦技术,学硕导师,http://example.com/qj.jpg,秦技术教授，信息学院讲师，研究软件工程。,qinjishu@bjfu.edu.cn,12345678951,信息学院,,,
X012,徐硬件,学硕导师,http://example.com/xh.jpg,徐硬件教授，信息学院副教授，专注于硬件设计。,xuyj@bjfu.edu.cn,12345678952,信息学院,,,
X013,高数据,学硕导师,http://example.com/gd.jpg,高数据教授，信息学院教授，研究大数据分析。,gaoshuju@bjfu.edu.cn,12345678953,信息学院,,,
X014,黄算法,学硕导师,http://example.com/hy.jpg,黄算法教授，信息学院副教授，专注于算法设计。,huangsuanzi@bjfu.edu.cn,12345678954,信息学院,,,
X015,何系统,专硕导师,http://example.com/hx.jpg,何系统教授，信息学院讲师，研究操作系统。,hexitong@bjfu.edu.cn,12345678955,信息学院,,,
X016,孙数库,专硕导师,http://example.com/sj.jpg,孙数据库教授，信息学院副教授，专攻数据库系统。,sunshujuku@bjfu.edu.cn,12345678956,信息学院,,,
X017,周信息,专硕导师,http://example.com/zxx.jpg,周信息教授，信息学院教授，专注于人工智能。,zhouxinx@bjfu.edu.cn,12345678957,信息学院,,,
X018,吴技术,专硕导师,http://example.com/wx.jpg,吴技术教授，信息学院副教授，专攻数据科学。,wujishu@bjfu.edu.cn,12345678958,信息学院,,,
X019,郑网络,专硕导师,http://example.com/zwl.jpg,郑网络教授，信息学院讲师，研究计算机网络。,zhengwangluo@bjfu.edu.cn,12345678959,信息学院,,,
X020,王算法,专硕导师,http://example.com/wx.jpg,王算法教授，信息学院副教授，专注于算法设计。,wangsuanzi@bjfu.edu.cn,12345678960,信息学院,,,
